
Day,chink + chinaman + chinkland + gook: (United States)
2020-01-01,59
2020-01-02,60
2020-01-03,42
2020-01-04,42
2020-01-05,36
2020-01-06,46
2020-01-07,19
2020-01-08,44
2020-01-09,28
2020-01-10,47
2020-01-11,47
2020-01-12,48
2020-01-13,37
2020-01-14,33
2020-01-15,74
2020-01-16,28
2020-01-17,48
2020-01-18,41
2020-01-19,46
2020-01-20,41
2020-01-21,51
2020-01-22,53
2020-01-23,58
2020-01-24,59
2020-01-25,40
2020-01-26,63
2020-01-27,39
2020-01-28,52
2020-01-29,38
2020-01-30,60
2020-01-31,60
2020-02-01,38
2020-02-02,75
2020-02-03,39
2020-02-04,35
2020-02-05,39
2020-02-06,38
2020-02-07,48
2020-02-08,53
2020-02-09,54
2020-02-10,55
2020-02-11,45
2020-02-12,30
2020-02-13,43
2020-02-14,40
2020-02-15,18
2020-02-16,43
2020-02-17,34
2020-02-18,28
2020-02-19,56
2020-02-20,31
2020-02-21,46
2020-02-22,40
2020-02-23,36
2020-02-24,32
2020-02-25,62
2020-02-26,47
2020-02-27,18
2020-02-28,25
2020-02-29,64
2020-03-01,53
2020-03-02,34
2020-03-03,42
2020-03-04,57
2020-03-05,74
2020-03-06,53
2020-03-07,44
2020-03-08,52
2020-03-09,38
2020-03-10,53
2020-03-11,54
2020-03-12,49
2020-03-13,49
2020-03-14,47
2020-03-15,0
2020-03-16,23
2020-03-17,58
2020-03-18,55
2020-03-19,84
2020-03-20,59
2020-03-21,60
2020-03-22,47
2020-03-23,61
2020-03-24,44
2020-03-25,62
2020-03-26,47
2020-03-27,57
2020-03-28,55
2020-03-29,60
2020-03-30,39
2020-03-31,49
2020-04-01,40
2020-04-02,39
2020-04-03,64
2020-04-04,59
2020-04-05,69
2020-04-06,39
2020-04-07,48
2020-04-08,39
2020-04-09,43
2020-04-10,48
2020-04-11,49
2020-04-12,69
2020-04-13,42
2020-04-14,41
2020-04-15,45
2020-04-16,39
2020-04-17,38
2020-04-18,54
2020-04-19,79
2020-04-20,36
2020-04-21,44
2020-04-22,65
2020-04-23,46
2020-04-24,35
2020-04-25,48
2020-04-26,50
2020-04-27,48
2020-04-28,50
2020-04-29,46
2020-04-30,40
2020-05-01,32
2020-05-02,51
2020-05-03,60
2020-05-04,52
2020-05-05,44
2020-05-06,44
2020-05-07,33
2020-05-08,26
2020-05-09,53
2020-05-10,63
2020-05-11,47
2020-05-12,44
2020-05-13,48
2020-05-14,53
2020-05-15,51
2020-05-16,50
2020-05-17,49
2020-05-18,47
2020-05-19,34
2020-05-20,35
2020-05-21,59
2020-05-22,39
2020-05-23,41
2020-05-24,56
2020-05-25,33
2020-05-26,100
2020-05-27,48
2020-05-28,53
2020-05-29,53
2020-05-30,34
2020-05-31,54
2020-06-01,52
2020-06-02,52
2020-06-03,36
2020-06-04,38
2020-06-05,58
2020-06-06,55
2020-06-07,49
2020-06-08,51
2020-06-09,43
2020-06-10,28
2020-06-11,39
2020-06-12,48
2020-06-13,69
2020-06-14,84
2020-06-15,39
2020-06-16,56
2020-06-17,69
2020-06-18,48
2020-06-19,44
2020-06-20,49
2020-06-21,54
2020-06-22,52
2020-06-23,54
2020-06-24,69
2020-06-25,54
2020-06-26,50
2020-06-27,47
2020-06-28,34
2020-06-29,44
2020-06-30,22
